validated,Measurement System,Domain,Item ID,Stem,Context,DataType,Responses,Inst,hcp_variable,action_requested,requested_python,specialty_code,hcp_variable_upload,nda_structure,nda_element,template,inst_short,Source,description,valueRange,notes
,,,,,,,,Anxiety Summary Parent Report (3-7),dummy_00095,,studydata['nih_tlbx_rawscore']='999',,nih_tlbx_rawscore,tlbx_fearanx01,nih_tlbx_rawscore,,Anxiety_Summary_3-7,,RawScore,,
,,,,,,,,Anxiety Summary Parent Report (3-7),dummy_00096,,studydata['nih_tlbx_theta']='999',,nih_tlbx_theta,tlbx_fearanx01,nih_tlbx_theta,,Anxiety_Summary_3-7,,Theta,,999=NA/NK/missing
,,,,,,,,Anxiety Summary Parent Report (3-7),dummy_00097,,studydata['nih_tlbx_tscore']='999',,nih_tlbx_tscore,tlbx_fearanx01,nih_tlbx_tscore,,Anxiety_Summary_3-7,,T-score,0::200; 999,999=NA/NK/missing
,,,,,,,,Anxiety Summary Parent Report (3-7),dummy_00098,,studydata['nih_tlbx_se']='999',,nih_tlbx_se,tlbx_fearanx01,nih_tlbx_se,,Anxiety_Summary_3-7,,Standard Error,,999=NA/NK/missing
,,,,,,,,Anxiety Summary Parent Report (3-7),dummy_00099,,studydata['nih_tlbx_agegencsc']='999',,nih_tlbx_agegencsc,tlbx_fearanx01,nih_tlbx_agegencsc,,Anxiety_Summary_3-7,,Age-Gender-Corrected T-score,0::250; 999,999=NA/NK/missing
,,,,,,,,Anxiety Summary Parent Report (3-7),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,tlbx_fearanx01,version_form,,Anxiety_Summary_3-7,,Form used/assessment name,,
,,,,,,,,Anxiety Summary Parent Report (3-7),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,tlbx_fearanx01,fneproc,,Anxiety_Summary_3-7,,name of trial procedure being run,,
,,,,,,,,Anxiety Summary Parent Report (3-7),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,tlbx_fearanx01,comqother,,Anxiety_Summary_3-7,,Respondent - Other (text),,
,,,,,,,,Anxiety Summary Parent Report (3-7),Fully_Corrected_T_score,,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],,nih_tlbx_fctsc,tlbx_fearanx01,nih_tlbx_fctsc,Anxiety_Summary_3-7.tlbx_fearanx01_template,Anxiety_Summary_3-7,HCPD,Fully-Corrected T-Score,0::120,
,,,,,,,,Anxiety Summary Parent Report (3-7),Language,Please rename 'Language' to 'primary_language' to avoid a naming conflict.,studydata['primary_language']=studydata['Language'],,primary_language,tlbx_fearanx01,primary_language,Anxiety_Summary_3-7.tlbx_fearanx01_template,Anxiety_Summary_3-7,HCPD,Subject's Primary Language,,
,,,,,,,,Cognition Composite Scores,nih_crystalcogcomp,had to create this variable from scratch -- see jupyter notebook,studydata['comments1']=studydata['nih_crystalcogcomp'],"jupyter - there is no Inst so named, but logic of their structure required this merge",comments1,cogcomp01,comments1,,cogcomp01,,Comments 1,,
,,,,,,,,Cognition Composite Scores,nih_eccogcomp,had to create this variable from scratch -- see jupyter notebook,studydata['comments2']=studydata['nih_eccogcomp'],"jupyter - there is no Inst so named, but logic of their structure required this merge",comments2,cogcomp01,comments2,,cogcomp01,,Comments 2,,
,,,,,,,,Cognition Composite Scores,nih_fluidcogcomp,had to create this variable from scratch -- see jupyter notebook,studydata['comments3']=studydata['nih_fluidcogcomp'],"jupyter - there is no Inst so named, but logic of their structure required this merge",comments3,cogcomp01,comments3,,cogcomp01,,Comments 3,,
,,,,,,,,Cognition Composite Scores,nih_totalcogcomp,had to create this variable from scratch -- see jupyter notebook,studydata['comments4']=studydata['nih_totalcogcomp'],"jupyter - there is no Inst so named, but logic of their structure required this merge",comments4,cogcomp01,comments4,,cogcomp01,,Comments 4,,
,,,,,,,,Cognition Composite Scores,Language,,studydata['interview_language']=studydata['Language'],jupyter,interview_language,cogcomp01,interview_language,cogcomp01_template,cogcomp01,HCPD HCPA,Language Used in the Interview,,
,,,,,,,,Cognition Composite Scores,nih_crystalcogcomp_ageadj,,studydata['nih_crycogcomp_ageadjusted']=studydata['nih_crystalcogcomp_ageadj'],jupyter,nih_crycogcomp_ageadjusted,cogcomp01,nih_crycogcomp_ageadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Crystal Cognition Composite Score-Age adjusted,0::200,
,,,,,,,,Cognition Composite Scores,nih_crystalcogcomp_np_ageadj,,studydata['nih_crystalcogcomp_np']=studydata['nih_crystalcogcomp_np_ageadj'],jupyter,nih_crystalcogcomp_np,cogcomp01,nih_crystalcogcomp_np,cogcomp01_template,cogcomp01,HCPD HCPA,Crystal National percentile of Composite score,0::100,
,,,,,,,,Cognition Composite Scores,nih_crystalcogcomp_unadjusted,,studydata['nih_crycogcomp_unadjusted']=studydata['nih_crystalcogcomp_unadjusted'],jupyter,nih_crycogcomp_unadjusted,cogcomp01,nih_crycogcomp_unadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Crystal Cognition Composite Score unadjusted,0::200,
,,,,,,,,Cognition Composite Scores,nih_eccogcomp_ageadj,,studydata['nih_eccogcomp_ageadjusted']=studydata['nih_eccogcomp_ageadj'],jupyter,nih_eccogcomp_ageadjusted,cogcomp01,nih_eccogcomp_ageadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Early Child Cognition Composite Score-Age adjusted,0::200,
,,,,,,,,Cognition Composite Scores,nih_eccogcomp_np_ageadj,,studydata['nih_earlychildcogcomp_np']=studydata['nih_eccogcomp_np_ageadj'],jupyter,nih_earlychildcogcomp_np,cogcomp01,nih_earlychildcogcomp_np,cogcomp01_template,cogcomp01,HCPD HCPA,Early Child National percentile of Composite score,0::100,
,,,,,,,,Cognition Composite Scores,nih_eccogcomp_unadjusted,,,jupyter,nih_eccogcomp_unadjusted,cogcomp01,nih_eccogcomp_unadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Early Child Cognition Composite Score unadjusted,0::200,
,,,,,,,,Cognition Composite Scores,nih_fluidcogcomp_ageadj,set missing to 999,"studydata.loc[studydata.nih_fluidcogcomp_ageadj.isnull()==True,'nih_fluidcogcomp_ageadj']=999; studydata['nih_fluidcogcomp_ageadjusted']=studydata['nih_fluidcogcomp_ageadj']",jupyter,nih_fluidcogcomp_ageadj,cogcomp01,nih_fluidcogcomp_ageadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Fluid Cognition Composite Score-Age adjusted,0::200;999,"composite score is derived by averaging the normalized scores of each of the measures, and then deriving scale scores based on this new distribution, then adjusted for age. Made up of Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison."
,,,,,,,,Cognition Composite Scores,nih_fluidcogcomp_np_ageadj,set missing to 999,"studydata.loc[studydata.nih_fluidcogcomp_np_ageadj.isnull()==True,'nih_fluidcogcomp_np_ageadj']=999; studydata['nih_fluidcogcomp_np']=studydata['nih_fluidcogcomp_np_ageadj']",jupyter,nih_fluidcogcomp_np_ageadj,cogcomp01,nih_fluidcogcomp_np,cogcomp01_template,cogcomp01,HCPD HCPA,National percentile of Fluid Cognition Composite score,0::100;999,"National percentile of composite score that is derived by averaging the normalized scores of each of the measures, and then deriving scale scores based on this new distribution. Made up of Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison."
,,,,,,,,Cognition Composite Scores,nih_fluidcogcomp_unadjusted,set missing to 999,"studydata.loc[studydata.nih_fluidcogcomp_unadjusted.isnull()==True,'nih_fluidcogcomp_unadjusted']=999",jupyter,nih_fluidcogcomp_unadjusted,cogcomp01,nih_fluidcogcomp_unadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Fluid Cognition Composite Score unadjusted,0::200;999,"composite score is derived by averaging the normalized scores of each of the measures, and then deriving scale scores based on this new distribution. Made up of Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison."
,,,,,,,,Cognition Composite Scores,nih_totalcogcomp_ageadj,,studydata['nih_totalcogcomp_ageadjusted']=studydata['nih_totalcogcomp_ageadj'],jupyter,nih_totalcogcomp_ageadjusted,cogcomp01,nih_totalcogcomp_ageadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Total Cognition Composite Score-Age adjusted,0::200,
,,,,,,,,Cognition Composite Scores,nih_totalcogcomp_np_ageadj,,studydata['nih_totalcogcomp_np']=studydata['nih_totalcogcomp_np_ageadj'],jupyter,nih_totalcogcomp_np,cogcomp01,nih_totalcogcomp_np,cogcomp01_template,cogcomp01,HCPD HCPA,National percentile of Total CognitionComposite score,0::100,
,,,,,,,,Cognition Composite Scores,nih_totalcogcomp_unadjusted,,,jupyter,nih_totalcogcomp_unadjusted,cogcomp01,nih_totalcogcomp_unadjusted,cogcomp01_template,cogcomp01,HCPD HCPA,Total Cognition Composite Score unadjusted,0::200,
,,,,,,,,Negative Affect Summary (13-17),dummy_00046,,studydata['anger_rs']='999',,anger_rs,prang01,anger_rs,,Negative_Affect_Summary_13-17,,Anger raw score,,
,,,,,,,,Negative Affect Summary (13-17),dummy_00047,,studydata['anger_ts']='999',,anger_ts,prang01,anger_ts,,Negative_Affect_Summary_13-17,,Anger T score,,
,,,,,,,,Negative Affect Summary (13-17),dummy_00048,,studydata['anger_se']='999',,anger_se,prang01,anger_se,,Negative_Affect_Summary_13-17,,Anger standard error,,
,,,,,,,,Negative Affect Summary (13-17),dummy_00049,,studydata['anger_theta']='999',,anger_theta,prang01,anger_theta,,Negative_Affect_Summary_13-17,,Anger theta,,
,,,,,,,,Negative Affect Summary (13-17),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,prang01,version_form,,Negative_Affect_Summary_13-17,,Form used/assessment name,,
