Inst,template,inst_short,Source,nda_structure,nda_element,hcp_variable,action_requested,hcp_variable_upload,specialty_code,requested_python,description,valueRange,notes
Anxiety Summary Parent Report (3-7),Anxiety_Summary_3-7.tlbx_fearanx01_template,Anxiety_Summary_3-7,HCPD,tlbx_fearanx01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Anxiety Summary Parent Report (3-7),Anxiety_Summary_3-7.tlbx_fearanx01_template,Anxiety_Summary_3-7,HCPD,tlbx_fearanx01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,Fully-Corrected T-Score,0::120,
Anxiety Summary Parent Report (3-7),Anxiety_Summary_3-7.tlbx_fearanx01_template,Anxiety_Summary_3-7,HCPD,tlbx_fearanx01,primary_language,Language,Please rename 'Language' to 'primary_language' to avoid a naming conflict.,primary_language,,studydata['primary_language']=studydata['Language'],Subject's Primary Language,,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,version_form,Assessment_Name,,Assessment_Name,1,,Form used/assessment name,,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,interview_language,Language,,Language,1,,Language Used in the Interview,,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nihtbx_cryst_rawscore,nih_crystalcogcomp,,,wrong - this HCP variable containsis the label of the instrument not a score - dont map to NDA - is wrong,,Crystallized Composite Raw Score,,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_crycogcomp_ageadjusted,nih_crystalcogcomp_ageadj,,nih_crystalcogcomp_ageadj,1,,Crystal Cognition Composite Score-Age adjusted,0::200,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_crystalcogcomp_np,nih_crystalcogcomp_np_ageadj,,nih_crystalcogcomp_np_ageadj,1,,Crystal National percentile of Composite score,0::100,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_crycogcomp_unadjusted,nih_crystalcogcomp_unadjusted,,nih_crystalcogcomp_unadjusted,1,,Crystal Cognition Composite Score unadjusted,0::200,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nihtbx_earlycomp_rs,nih_eccogcomp,,,wrong - this HCP variable containsis the label of the instrument not a score - dont map to NDA - is wrong,,Early Childhood Cognition Composite Raw Score,,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_eccogcomp_ageadjusted,nih_eccogcomp_ageadj,,nih_eccogcomp_ageadj,1,,Early Child Cognition Composite Score-Age adjusted,0::200,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_earlychildcogcomp_np,nih_eccogcomp_np_ageadj,,nih_eccogcomp_np_ageadj,1,,Early Child National percentile of Composite score,0::100,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_eccogcomp_unadjusted,nih_eccogcomp_unadjusted,,nih_eccogcomp_unadjusted,1,,Early Child Cognition Composite Score unadjusted,0::200,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_fluidcogcomp_fctsc,nih_fluidcogcomp,,,wrong - this HCP variable containsis the label of the instrument not a score - dont map to NDA - is wrong,,Fluid Cognition Fully-Corrected T-Score,0::100,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_fluidcogcomp_ageadjusted,nih_fluidcogcomp_ageadj,set missing to 999,nih_fluidcogcomp_ageadj,1,"studydata.loc[studydata.nih_fluidcogcomp_ageadj.isnull()==True,'nih_fluidcogcomp_ageadj']=999",Fluid Cognition Composite Score-Age adjusted,0::200;999,"composite score is derived by averaging the normalized scores of each of the measures, and then deriving scale scores based on this new distribution, then adjusted for age. Made up of Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison."
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_fluidcogcomp_np,nih_fluidcogcomp_np_ageadj,set missing to 999,nih_fluidcogcomp_np_ageadj,1,"studydata.loc[studydata.nih_fluidcogcomp_np_ageadj.isnull()==True,'nih_fluidcogcomp_np_ageadj']=999",National percentile of Fluid Cognition Composite score,0::100;999,"National percentile of composite score that is derived by averaging the normalized scores of each of the measures, and then deriving scale scores based on this new distribution. Made up of Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison."
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_fluidcogcomp_unadjusted,nih_fluidcogcomp_unadjusted,set missing to 999,nih_fluidcogcomp_unadjusted,1,"studydata.loc[studydata.nih_fluidcogcomp_unadjusted.isnull()==True,'nih_fluidcogcomp_unadjusted']=999",Fluid Cognition Composite Score unadjusted,0::200;999,"composite score is derived by averaging the normalized scores of each of the measures, and then deriving scale scores based on this new distribution. Made up of Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison."
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nihtbx_totalcomp_rawscore,nih_totalcogcomp,,,wrong - this HCP variable containsis the label of the instrument not a score - dont map to NDA - is wrong,,Total Cognition Composite  Raw Score,,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_totalcogcomp_ageadjusted,nih_totalcogcomp_ageadj,,nih_totalcogcomp_ageadj,1,,Total Cognition Composite Score-Age adjusted,0::200,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_totalcogcomp_np,nih_totalcogcomp_np_ageadj,,nih_totalcogcomp_np_ageadj,1,,National percentile of Total CognitionComposite score,0::100,
Cognition Composite Scores,cogcomp01_template,cogcomp01,HCPD HCPA,cogcomp01,nih_totalcogcomp_unadjusted,nih_totalcogcomp_unadjusted,,nih_totalcogcomp_unadjusted,1,,Total Cognition Composite Score unadjusted,0::200,
Negative Affect Summary (13-17),NAS_13-17.prang01_template.csv,Negative_Affect_Summary_13-17,HCPD,prang01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Affect Summary (13-17),NAS_13-17.prang01_template.csv,Negative_Affect_Summary_13-17,HCPD,prang01,Fully_Corrected_T_score,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,,,
Negative Affect Summary (13-17),NAS_13-17.prang01_template.csv,Negative_Affect_Summary_13-17,HCPD,prang01,interview_language,Language,,Language,,,Language Used in the Interview,,
Negative Affect Summary (18+),NAS_18+.prang01_template.csv,Negative_Affect_Summary_18,HCPD HCPA,prang01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Affect Summary (18+),NAS_18+.prang01_template.csv,Negative_Affect_Summary_18,HCPD HCPA,prang01,interview_language,Language,,Language,,,Language Used in the Interview,,
Negative Affect Summary (18+),NAS_18+.prang01_template.csv,Negative_Affect_Summary_18,HCPD HCPA,prang01,anger_ts,TScore,,TScore,,,Anger T score,,
Negative Affect Summary (8-12),NAS_8-12.prang01_template.csv,Negative_Affect_Summary_8-12,HCPD,prang01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Affect Summary (8-12),NAS_8-12.prang01_template.csv,Negative_Affect_Summary_8-12,HCPD,prang01,Fully_Corrected_T_score,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,,,
Negative Affect Summary (8-12),NAS_8-12.prang01_template.csv,Negative_Affect_Summary_8-12,HCPD,prang01,interview_language,Language,,Language,,,Language Used in the Interview,,
Negative Peer Relations Parent Report Summary (8-12),Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,tlbx_empbeh01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
