Inst,template,inst_short,nda_structure,nda_element,hcp_variable,action_request,hcp_variable_upload,specialty_code,requested_python
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,en6m50_2m_10ft_marks,en6m50_2m_10ft_marks,,en6m50_2m_10ft_marks,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,en6m50_2m_ft,en6m50_2m_ft,,en6m50_2m_ft,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,en6m50_2m_inches,en6m50_2m_inches,,en6m50_2m_inches,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,en6m50_2m_turns,en6m50_2m_turns,,en6m50_2m_turns,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,version_form,Assessment_Name,not requested but template question outstanding…see email 12/30/2019,assessment_name,,studydata['assessment_name']=studydata['Assessment_Name']
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,raw_wet,RawScore,Please rename this column 'raw_wet' to avoid a naming conflict.,raw_wet,,studydata['raw_wet']=studydata['RawScore']
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,wcst_ni,ItmCnt,not requested but template question outstanding…see email 12/30/2019,wcst_ni,,studydata['wcst_ni']=studydata['ItmCnt']
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,interview_language,Language,not requested but template question outstanding…see email 12/30/2019,interview_language,,studydata['interview_language']=studydata['Language']
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,end_2m_standardsc,Uncorrected_Standard_Score,not requested but template question outstanding…see email 12/30/2019,end_2m_standardsc,,studydata['end_2m_standardsc']=studydata['Uncorrected_Standard_Score']
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,Age_Corrected_Standard_Score,Age_Corrected_Standard_Score,,Age_Corrected_Standard_Score,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Min_Walk_tlbx_motor01_template.csv,2-Minute_Walk,tlbx_motor01,National_Percentile__age_adjusted_,National_Percentile__age_adjusted_,,National_Percentile__age_adjusted_,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk_tlbx_motor01_template.csv,4-Meter_Walk,tlbx_motor01,lo4mt1,lo4mt1,,lo4mt1,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk_tlbx_motor01_template.csv,4-Meter_Walk,tlbx_motor01,lo4mt2,lo4mt2,,lo4mt2,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk_tlbx_motor01_template.csv,4-Meter_Walk,tlbx_motor01,version_form,Assessment_Name,not requested but template question outstanding…see email 12/30/2019,assessment_name,,studydata['assessment_name']=studydata['Assessment_Name']
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk_tlbx_motor01_template.csv,4-Meter_Walk,tlbx_motor01,loco_rawscore,RawScore,Please rename this column 'loco_rawscore' to avoid a naming conflict.,loco_rawscore,,studydata['loco_rawscore']=studydata['RawScore']
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk_tlbx_motor01_template.csv,4-Meter_Walk,tlbx_motor01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk_tlbx_motor01_template.csv,4-Meter_Walk,tlbx_motor01,interview_language,Language,,Language,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk_tlbx_motor01_template.csv,4-Meter_Walk,tlbx_motor01,loco_comscore,Computed_Score,,Computed_Score,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard_tlbx_motor01_template.csv,9-Hole_Pegboard,tlbx_motor01,dx9hdominanttime,dx9hdominanttime,,dx9hdominanttime,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard_tlbx_motor01_template.csv,9-Hole_Pegboard,tlbx_motor01,dx9hnondominanttime,dx9hnondominanttime,,dx9hnondominanttime,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard_tlbx_motor01_template.csv,9-Hole_Pegboard,tlbx_motor01,version_form,Assessment_Name,not requested but template question outstanding…see email 12/30/2019,assessment_name,,studydata['assessment_name']=studydata['Assessment_Name']
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard_tlbx_motor01_template.csv,9-Hole_Pegboard,tlbx_motor01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard_tlbx_motor01_template.csv,9-Hole_Pegboard,tlbx_motor01,interview_language,Language,,Language,,
